Category,Name,Neighborhood,Recognition,What_to_order,Price_range,Reservation,Best_time,Notes
Michelin,Alameda,Faro Centro,Michelin one star (awarded March 2026 — Faro's first ever),"the tasting menu — Origami (12 courses) or Umami (8 courses) — the kitchen reads the Ria, oyster with eucalyptus ponzu and lime, octopus from Olhão, smoked eel",EUR 90-130 menu,Essential,Dinner,"Chef Rui Sequeira, ex-Ocean (Hans Neuner) and direct alumnus of the Vila Vita kitchen. The star reads as a line drawn under three decades of Algarve being only resort cooking. Thu–Mon dinner, Sunday lunch slots."
Contemporary,CHECKin by Leonel Pereira,Cidade Velha,Michelin Bib Gourmand (2025/2026),the seasonal menu — Check-in / Cozinhados no Tacho / Momentos Especiais / Check-out; ask the sommelier for niche Portuguese producers,EUR 25-45,Recommended,Dinner,"Leonel Pereira held a star at São Gabriel (Almancil), gave it up to open a more democratic concept inside the walls. 26 seats indoors + 30-seat terrace. Wine list among the most curious in the city."
Cult,Estaminé — Ilha Deserta,Ilha Deserta (Ilha da Barreta),The cult lunch of southern Portugal — solar-powered restaurant on an uninhabited barrier island,"whatever the Ria gave that morning — oysters, grilled sea bream, conquilhas, arroz de lingueirão; the tuna and octopus estupetas",EUR 25-50,Essential,Lunch,"Animaris ferry from the marina (~30 min through the lagoon, return ~€10). Rebuilt August 2021 after a March fire. Photovoltaic plant covers all energy; seawater desalination for drinking water. First boat out, last boat back."
Traditional,Tasca do Ricky,Faro Centro,"The canonical Faro tasca — organic ingredients, ancestral recipes, no more than four per table","cataplana de marisco, arroz de lingueirão, amêijoas à bulhão pato, whatever's on the chalkboard",EUR 25-40,"Booking 19:00-19:45, walk-in until 21:30",Dinner,Mon–Sat 19:00–22:00; closed Sundays. The cataplana here is repeatedly cited as the best in the city. The waiter knows what you should order better than you do.
Traditional,Faz Gostos,Cidade Velha,Michelin Plate — local gastronomic reference inside the walls,"arroz de marisco (≈ €40 for two), cataplana, the day's fish",EUR 20-40,Recommended,Dinner,Established 2009. Two halls (up to 150 covers — unusually large for Michelin-listed but the consistency holds). 18th-c. underground wine cellar. Modern Algarve cooking that opens the Cidade Velha to serious eaters.
Traditional,Vila Adentro,Cidade Velha,Azulejo-tiled 18th-c. building on the central walled square,"vegetable cataplana (proof the copper pot works without shellfish), octopus, prawn-curry rice",EUR 14-28,Walk-in,All day,Open 10:00–22:30 daily — one of the rare all-day options inside the walls. Vegan-friendly without being only that.
Traditional,Tertúlia Algarvia,Faro Centro,Traditional Algarve dishes plus cooking classes — the place to learn cataplana technique,seasonal menu tied to what the land and sea give that week; sign up for the class,EUR 15-30,Walk-in,Lunch / Dinner,Regional-products focus. The cooking class makes it more useful than another menu.
Traditional,Adega Nova,Faro Centro,"Converted tile-and-brick warehouse, open 11:00–23:00 daily, an extensive Dão / Douro list","grilled fish, arroz de marisco, choco frito; two with a bottle around €40",EUR 10-18,Walk-in,Lunch / Dinner,"Since 1986. The value benchmark of central Faro — honest portions, real fish, real wine."
Traditional,A Venda,Faro Centro,"Petiscos in a grandmother's lounge — open kitchen, sharing plates","pork cheeks, marinated vegetables, local cheese board, anything off the daily list",EUR 15-25 sharing,Recommended,Dinner,"Tue–Sat 13:00-15:00 and 19:30-23:00. Vegan-, vegetarian- and meat-eater-friendly without forcing the joke."
Traditional,A Do Pinto,Faro Centro,"Family-run cataplana house, honest portions","cataplana with shrimp and clams, grilled fish",EUR 15-30,Walk-in,Lunch / Dinner,Word-of-mouth Faro address. Not for tourists — which is exactly why you go.
Market,Mercado de Olhão,Olhão (15 min east),Two red-brick halls on the waterfront — the Algarve's largest fish market,"Saturday before 09:00: sardines (~€4/kg) off the boats, octopus, Pacific oysters, amêijoa-boa, Ria Formosa salt and flor de sal",EUR variable,Walk-in,Mon–Sat 07:00-13:00,"Built 1912–1916, inaugurated 1916. Two halls — east is fish, west is fruit/vegetables. Neo-Arabic green domes, 20th-c. azulejo panels of Algarve fishing life inside. Saturday is the experience."
Market,Mercado Municipal de Faro,Faro Centro,"Faro's city market — fish, vegetables, the city's reference bifana inside",bifana from Snack Bar da Xica; daily fish; fruit and bread,EUR variable,Walk-in,Mon–Sat morning,Less theatre than Olhão; more utility. Go early. Snack Bar da Xica's bifana is repeatedly cited as the city's best.
Drink,Bago Wine Bar,Faro Centro,"Faro's natural-wine reference — ~180 Portuguese references, 30–50 natural / organic / biodynamic","by-the-glass tour of the Algarve list; tiborna open-toasts, cheese, charcuterie, fish tapas, roast black-pork sausage",EUR 5-12 glass · EUR 8-18 food,Walk-in,Evening,"10:00-23:00, closed Sun–Mon. Live music most Fridays from 19:30. Raisin-listed."
Drink,Hotel Faro Rooftop,Marina & Jardim Manuel Bívar,"The best rooftop view in the city — harbour, Ria Formosa, the barrier islands",anything cold at sunset,EUR 8-15 / drink,Walk-in,Sunset,"Touristy but the view actually pays. Go at sunset, leave before the music."
Cult,Morgado do Quintão,Lagoa / Silves (45 min),Family-owned since 1810; Algarve's largest certified-organic vineyard; consultant Joana Maçanita,"monovarietal Crato Branco (the canonical Algarve white); Negra Mole rosé under the 2,000-year-old olive tree; farmers' table lunch pairing family recipes with the wines",EUR 20-40 tasting,Book ahead,Afternoon,"Mon–Sat 16:00 visit slots. Won ""Best Wine in Portugal – Algarve"" (Revista de Vinhos) two years running. Farmstay on the estate."
Michelin,Vila Joya,Albufeira (40 min west),"Michelin two stars — held since 1999, the longest-running ★★ on the Algarve coast",the daily-changing tasting; no dish appears twice across the year,EUR 200+ menu,Essential,Dinner,"Austrian chef Dieter Koschina, in the Algarve since 1991; first star 1995, second 1999 — the first ★★ in Portugal. 30 seats. Cliffside Atlantic terrace."
Michelin,Ocean Restaurant,Porches (50 min west),Michelin two stars since 2011; Best Service Award 2026,the discovery menu — Atlantic fish read through Portugal's Age of Discovery routes,EUR 200+ menu,Essential,Dinner,Chef Hans Neuner (Portugal's Chef of the Year 2009 and 2012). Rui Sequeira of Alameda passed through this kitchen — the lineage is direct.
Michelin,Bon Bon,Carvoeiro (40 min west),Michelin one star (held),the Essence menu — a tightly edited celebration of Algarve biodiversity,EUR 120-160 menu,Essential,Dinner,"Chef José Lopes (succeeding Louis Anjos in the 2026 guide). Less resort, more personal vision than Vila Joya or Ocean."
