name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,iconic_orders
El Celler de Can Roca,Michelin,Pedret · Can Sunyer,"Carrer de Can Sunyer 48, 17007 Girona",+34 972 222 157,41.99329,2.80796,berth_top,3 Michelin; Tasting; At-source,3 Michelin stars; World's 50 Best No.1 in 2013 & 2015 (then retired to Best of the Best),"The full tasting: caramelised olives plucked from a bonsai, closing on Jordi's perfume-built desserts.",EUR 300+ pp,"Books ~11 months ahead, midnight on the 1st of the month; card to hold",Lunch — marginally easier to land than dinner,"Closed Sun & Mon; the booking window, not the walk, is the gatekeeper","Forty years in, all three brothers are still on the floor — this is not a three-star coasting on its two world titles.","Bookings open at midnight on the 1st of each month, eleven months out, card to hold; shut Sunday and Monday, and 16 August–1 September this summer.","Menú Festival — the full tasting — The only menu — appetiser cavalcade, twelve courses, three desserts; olives to perfume.; Olives caramelitzades — the bonsai olives — Anchovy-stuffed caramelised olives hung glinting from a bonsai olive tree.; El món (The World) — Five one-bite world flavours on arms extending from a globe; Peru, Turkey recur.; Gamba de Palamós marinada — Rice-vinegar-marinated red prawn, head-juice sauce, crisp fried legs, phytoplankton brioche.; Adaptation of Eternity by Calvin Klein — Bergamot, basil, tangerine, vanilla — the fragrance rebuilt edible, a line since 2001.; Josep's wine pairing — Optional €155 pairing; cellar built as five wine 'chapels' — Champagne, Burgundy, Riesling, Priorat, Jerez."
Restaurant Massana,Michelin,Mercadal · near the Devesa,"Carrer Bonastruc de Porta 10, 17001 Girona",+34 972 213 820,41.9873,2.8195,berth_top,1 Michelin; Duck; Family,"1 Michelin star, first awarded 2007, held through the 2026 Guide; fourth-generation kitchen","Homenaje al Magret de Pato — duck breast off the grill, on the card since 1986.",EUR 90–140 pp,Several days to weeks ahead,Dinner,Quieter than Can Roca but still needs advance booking,"Girona's longest-held star after Can Roca's — kept since 2007, and bookable in days, not seasons.","Shut Sunday and Monday, last tasting-menu seating at nine sharp — book days ahead, not on the night.","Homenatge al Magret d'Ànec Massana (1986) — Grill-charred duck breast, herb oil, rosemary pear — never off the card since 1986.; Caneló de pularda, escamarlà i crema de ceba dolça — Silky poularde caneló under langoustine and sweet-onion cream — Catalan classic, starred.; Ceps, gambes i tòfona — Autumn only — raw cep carpaccio, marinated prawns, truffle, pine-nut vinaigrette.; Ou estrellat — Trompe-l'oeil egg of yoghurt, mango and white chocolate — theatrical finish."
Divinum,Michelin,Barri Vell · the Casino building,"Carrer de l'Albareda 7, 17004 Girona",+34 872 080 218,41.9855,2.8238,berth_top,1 Michelin; Pairing; Steak tartare,"1 Michelin star, held in the 2026 Guide; kitchen trained under Joan Roca","The classic steak tartare, mustard-cool, with whatever Laura pours against it.",EUR 80–120 pp,A few days ahead,Dinner,Below street level in the Casino building — easy to walk past,"The only star in Girona won from the dining room, not the pass — Joan and Laura's floor, since the wine-bar days.","Shut Sunday and Monday, kitchen closes at ten — and the vault sits below street level, easy to march straight past.","Classic beef steak tartare — Carved and sauced in the room; crowned Spain's best tartare 2022; €38.50.; Pèsols del Maresme — Spring only — pil-pil broth, cod tripe, truffle shavings; Michelin's named standout.; Menú Essència with Laura Tejero's pairing — €90 pairing over the €160 menu — the sommelier-led room's whole point.; The cheese trolley (selecció de formatges) — Twenty-plus wheels — Rey Silo blue, Gargòla del Miracle — €25 to finish.; Chocolate and walnuts — Casadevall's chocolate slot — his aubergine-Valrhona 'Horta dolça' won Best Chocolate Dessert 2022.; Fig-leaf flan ('Figs leaf flam') — House flan, fig-leaf nitro ice cream churned tableside, carob crumble; €15."
Normal,Bistro,Barri Vell · Plaça de l'Oli,"Plaça de l'Oli 1, 17004 Girona",+34 972 436 383,41.9862,2.8248,several,Roca; Catalan stew; Market,The Roca brothers' deliberately informal room; interiors by Andreu Carulla,The whisky tart with egg-yolk ice cream — the one dessert the inspectors single out.,EUR 35–50 pp,A few days ahead,Lunch,The companion Bar Normal opens at noon for vermouth and all-day picking,"The Rocas at their most Catalan — their mother's home cooking by El Celler-trained hands, not a three-star spin-off doing tricks.","Shut Mondays; the diary opens 90 days ahead at midnight, card down — €50 a head if you cancel inside three days.","Truita Sacha amb carpaccio de gamba vermella — Half-set omelette under raw Palamós prawn carpaccio — homage to Madrid's Sacha.; Filet Wellington de vedella madurada — Dry-aged beef in glossy pastry, salsa cafè París — the other must-order.; Tarta al whisky amb gelat de rovell d'ou — Since day one — boozy retro gateau, egg-yolk ice cream; Michelin names it.; Croqueta de llet d'ovella Mas Marcè i pernil ibèric — Raw ripollesa ewe's-milk béchamel in a whisper-thin crust; ordered by the piece.; Els arrossos — Repsol-tipped rices; this carta, dry rice of perol sausage and baby cuttlefish.; Patates fregides amb maionesa de tòfona i formatge (Bar Normal) — The weeks-old companion bar's calling card — crisp chips, truffle mayonnaise, cheese."
Casa Cacao,Chocolate,Barri Vell · Plaça Catalunya,"Plaça de Catalunya 23, 17002 Girona",+34 972 282 828,41.9843,2.8228,several,Roca; Chocolate; Terrace,Jordi Roca + Anna Payet's bean-to-bar house and 15-room hotel over the Onyar,"The thick hot chocolate — single-origin, conched metres away, dense enough to coat the spoon.",EUR 15–30 (café),Advisable for the terrace brunch,"Morning, on the terrace",Shop is walk-in; the 15-room hotel above books out fast,"Not a three-star gift shop — Jordi Roca roasts, grinds and conches the beans on the premises, and the cup proves it.","A café, not a lunch room — the bookable brunch is the hotel roof's midday sitting (12:00–14:00, about €35, reserve ahead); the shop is walk-in, the fifteen rooms above are not.","Xocolata calenta (thick hot chocolate) — House-roasted, conched metres away; thickened a la taza — dense enough to coat the spoon; Xuixo Casa Cacao — Girona's fried pastry, warm, filled with 72% Colombian Arhuaco chocolate cream; Fartonne — Elongated panettone-dough brioche, made for dunking in the hot chocolate; Single-origin bars (Hacienda Victoria 68%, Coop. Norandino 70%, Finca La Rioja 75%) — Ecuador, Piura and Chiapas lots, wrapped in paper made from their cacao husks; Brunch a La Terrassa — €55 rooftop sitting over the old town; seasonal, small-producer spread"
Rocambolesc,Gelateria,Mercadal · Carrer Santa Clara,"Carrer de Santa Clara 50, 17001 Girona",+34 972 416 667,41.984,2.8225,several,Roca; Ice cream; Playful,Jordi Roca's gelateria — the Celler's dessert language at street level,"The Panet — brioche pressed hot around cold soft-serve; crackling crust, frozen heart.",EUR 4–8,Walk-in,Afternoon,Queues form fast in summer; a candy confiteria shares the address,Three-Michelin-star pastry thinking at four euros a cone — and the queue down Santa Clara knows it.,"Walk-in only, and shut by 21:00 five nights a week (23:00 Friday–Saturday) — no midweek after-dinner cone.","Panet — Brioche run hot through the 'Oxymoron Maker'; crackling crust, cold soft-serve heart.; Helado de manzana al horno (baked-apple soft-serve) — House classic — baked-apple cream under caramelised apple and buttery biscuit crumbs.; Rocanas (the nose) — Strawberry-and-rosewater lolly cast from a 3D scan of Jordi's own nose.; Mano Dorada (the Golden Hand) — Jaime Lannister's gilt hand — blood orange, mango, cocoa butter, gold-dusted."
Can Marquès,Traditional,Mercadal · beside Mercat del Lleó,"Plaça Calvet i Rubalcaba 3, 17002 Girona",+34 972 201 001,41.9796,2.8227,several,Since 1920; 4th-gen; Market,"One of Girona's longest-running family tables, opened 1920, now fourth generation",The Thursday rice — the pan carries whatever the market gave up that morning.,EUR 30–45 pp,Advisable for the three dinner nights,Lunch — dinner only Wed/Thu/Fri 20:30–22:30,Night service Wed–Fri only; it shops the market next door,"Four unbroken generations since 1920 — among Girona's longest-running tables, and the Mercat del Lleó next door still sets the menu.","Lunch is the meal: dinner is Thursday and Friday only, groups only — and Saturdays shut mid-June to mid-September.","L'arròs del dijous (the Thursday rice) — Thursday is rice day — market-driven arròs, the Mercat del Lleó across the square.; Botifarra de sal i pebre esparracada amb formatge brie — Salt-and-pepper botifarra torn open under melting brie — old-school market comfort.; Bacallà amb samfaina i romesco — Salt cod under slow-stewed samfaina, finished with nut-thick romesco.; Pota i tripa de vedella — Trotter and tripe in one gelatinous stew — proper market-day offal.; Llengua de vedella estofada amb bolets — Veal tongue braised with mushrooms until it yields to a spoon.; Escudella i carn d'olla (winter Wednesdays) — Winter Wednesdays only — steaming broth first, then the platter of boiled meats."
Casa Marieta,Traditional,Barri Vell · Plaça de la Independència,"Plaça Independència 5–6, 17001 Girona",+34 972 201 016,41.9857,2.8236,several,Since 1892; 5th-gen; Terrace,"On the arcaded square since 1892, five generations in","Duck with pears: the old Catalan way, pears gone amber in the roasting juices.",EUR 25–40 pp,Recommended for the arcaded terrace,Lunch on the square,Also does takeaway if the room is full,"Girona's oldest restaurant — on a square ringed with look-alike terraces, the one that has cooked here since 1892 and still cooks like it.","Open daily but on rails — lunch 12.30 to 3.30, dinner 7.30 to 10.30, half an hour longer at weekends, nothing between; the arcaded terrace books out first, and nobody here is chasing tasting-menu invention.","Ànec amb peres — The old Catalan way — pears turned amber in the duck's roasting juices.; Canelons Casa Marieta — The grandmother's canelons — the house sells them under its own name.; Espatlla de xai al forn — Baked whole till the meat loosens from the bone — a listed house classic.; Sípia amb pèsols — Cuttlefish dice simmered with sweet peas — sea-and-garden Catalan standard.; Xuixo de Girona — Girona's cream-filled fried pastry, sugar-crusted — made in-house, press calls it legendary."
Fonda Cal Ros,Traditional,Barri Vell · Carrer de la Cort Reial,"Carrer de la Cort Reial 9, 17004 Girona",+34 972 219 176,41.9862,2.8243,several,Stone vaults; Els Tinars team; Seasonal,Historic inn relaunched by the Els Tinars / Marc Gascons team,Rockfish rice a la llauna — baked flat in its tin until the edges catch.,EUR 40–55 pp,Recommended,Dinner under the stone vaults,Closed Tue; on the same street where the xuixo was invented,Not the Gascons' starred table — the same Els Tinars hands cooking fricandó and rice a la llauna for fonda money under the old inn's vaults.,"Shut Tuesdays and Wednesdays — not the Monday you'd guess; plates land to share, so order as a table, not as individuals.","Arròs a la llauna de peix de roca, gambetes i escamarlans — Baked flat in its tin — rockfish, small prawns, langoustines; edges catch crisp.; Arbre d'embotits artesans — Charcuterie hung on a table-side tree; Torroella de Montgrí cuts, sold by weight.; Canelons de rostit tradicional — Roast-meat cannelloni ben gratinats — béchamel blistered deep and dark.; Porró de vi — Empordà vi de pagès drunk from the glass porró, passed round the table.; Crema catalana tradicional cremada — The traditional burnt crust — a thin caramel lid, cracked with the spoon."
Nexe,Bistro,Barri Vell · Carrer d'Abeuradors,"Carrer d'Abeuradors 4, 17004 Girona",—,41.9873,2.8198,several,Experimental; Market; Value,"The old Nu, transferred to its own chefs in Aug 2022; MICHELIN Guide selection + Guía Repsol Recomendado 2026","Steak tartare, worked up in front of you at the open bar.",—,Book ahead — Tue–Sat only,Dinner at the open bar,Nu's old domain is dead; don't bank on the tasting menu third-party sites advertise,"Nu is gone — Massana signed the room over to his own cooks in 2022, and as Nexe they've kept their MICHELIN Guide listing without him.","Shut Sunday and Monday, two-hour service windows — book, and don't bank on the tasting menu TheFork advertises; the carte runs short.","Steak tàrtar de vaca charolesa — Forty-day dry-aged Charolais chopped at the open bar; smoked eel, raisins, pine nuts; Ostra Gillardeau amb salsa ponzu — Gillardeau No 2 opened to order under ponzu and seven-spice — on since 2023; Canelons — House caneló, refilled by season — truffled Mas el Cros black chicken, now morel sauce; Xuixo — Girona's fried pastry made to order — àvia Núria's crema catalana, caramel ice cream; Arròs sec — Empordà dry rice, garnish rotating — Palamós prawn veil once, botifarra negra now"
Cal Formatger,Cheese,Barri Vell · Carrer de la Cort Reial,"Carrer de la Cort Reial 12, 17001 Girona",+34 677 835 580,41.9861,2.8244,several,200+ cheeses; Garrotxa; Tasting,A cheese room built on Girona-province makers — Garrotxa goat's cheese front and centre,"The Girona-comarca board, cut to order — start with the grey-rinded, hazelnut-sweet goat's cheeses.",EUR 10–25 (board),Walk-in to shop; ask ahead for a private tasting,Late morning,"Small room, opens 10:30; closed Sun & Mon",The quesería Guía Repsol bills as Joan Roca's favourite in his own city — proof a province of small dairies can carry a counter alone.,"Shut Sunday and Monday, and the counter goes dark mid-afternoon most days; tastings want notice, not a walk-in.","Les Safates — the cut-to-order cheese board — Four sizes, Parella €25 to XXL €55 — 'acadèmicament tallats', laid with grace.; Puigpedrós (Molí de Ger) — Pere Pujol's washed-rind raw cow from Ger — orange rind, Munster-like, intensity 5/5.; Glauc (Formatgeria Xauxa, Les Preses) — Paula Fonollà's creamy raw-milk blue from Les Preses — Lactium 2021 best Catalan cheese.; Tou del Lluçanès — Their 'torta de vaca a la catalana' — spoon-soft raw cow's cheese, €15.; Cervesa Minera — Craft beer brewed in Sant Joan de les Abadesses — full Minera catalogue stocked.; Audio tast premiats — guided tasting pack — Cheese packs with the shop's audio-guided tastings — at home, or in-shop with makers."
Arròs 9 by Terram,Rice,Barri Vell · Carrer Ginesta,"Carrer Ginesta 8, 17004 Girona",+34 629 420 183,41.986,2.825,plenty,Rice; Casual; Terram,"The casual rice-focused offshoot of the gastronomic Terram, same chef","Arròs del senyoret amb llagosta — lobster rice, everything peeled, spoon straight to the crust.",EUR 20–35 pp,Weekend lunch,Lunch,Rice dishes usually need two — call ahead if solo,"Not a photo-menu paella stop — Terram's chef directs the rice pans, and each arròs is built on its own sofregit.","Shut Wednesdays, and dinner only four nights a week — Sundays and Tuesdays it's lunch or nothing.","Arròs del senyorit, de bogavante — sec — Peeled lobster rice, nothing to shell — spoon straight down to the socarrat; minimum two.; Arròs sec de porc ibèric flambejat — Grill-soaked grains, flambéed presa ibèrica; reviewers singled out the morcilla alioli.; Arròs negre sec — Squid-ink dry rice with langoustines and saffron lactonesa — scrape the toasted crust.; Croquetes de rostit tradicional — Three-roast-meat croquettes, molten centre, ordered by the piece.; Xuixo de Girona flambejat al rom — Girona's cream-filled pastry from Can Castelló, rum-flambéed, with vanilla ice cream."
Can Castelló,Pastry,Barri Vell · Carrer de l'Argenteria,"Carrer de l'Argenteria 7, 17004 Girona",+34 747 439 949,41.98477,2.82445,plenty,Xuixo; Since 1898; Catering,Brands itself the keeper of the early xuixo recipe (its 116-year Santa Clara flagship closed 2014),"The classic crema xuixo, eaten warm — sugar crust cracking into soft crema catalana.",EUR 3–4 per xuixo,Walk-in,"Morning, fresh batches",Argenteria 7 is the only Girona address — the Calderers counter is gone; the 'best xuixo' title is contested (Tornés won the 2026 world contest),Not the 2026 world-champion xuixo — Tornés took that — but the only house on earth frying nothing else.,"A branded flagship, not the vanished old bakery — the frying happens in Banyoles, the Calderers counter is gone, and Argenteria 7 is the only address.","Xuixo de Crema — The classic, warm — crackling sugar crust into soft egg-rich crema; their best-seller.; Xuixo de Crema de Ratafia — Cream cold-infused with ratafia herbs, finished with the Catalan liqueur itself.; Xuixo de Cabell d'Àngel — Silky candied-pumpkin strands inside the fried, sugar-rolled lamination."
La Fàbrica,Coffee,Barri Vell · Carrer de la Llebre,"Carrer de la Llebre 3, 17004 Girona",+34 872 000 273,41.9852,2.8221,plenty,Specialty coffee; Brunch; Cyclists,"Girona's first third-wave café, founded by a pro cyclist and his wife — hub of the city's riding scene",The brunch board with a filter coffee — beans they roast themselves at Espresso Mafia.,EUR 10–18,None — expect a wait at peak brunch,Weekend morning,"Open daily 9:00–17:00, incl. Sundays — useful when the rest is shut",Girona's first third-wave café — the 2015 original the city's whole cycling-coffee scene grew out of.,"No bookings, a wall of Lycra at weekend brunch, and doors shut at five — dinner is elsewhere.","Flat white — Double shot under foamed milk — beans Meier roasts himself at Espresso Mafia; Nordic bagel — Herb cream cheese laid on thick, smoked salmon, shaved cucumber; Fruity Forest — Violet-sugar yoghurt ringed by a kaleidoscope of tropical fruit; Cafè amb gel — Order iced espresso, cold brew arrives — Meier refuses to ice-shock his roasts; Pulled pork bagel — Tender pulled pork, melted cheese, bright mango salsa — post-ride fuel"
Mercat del Lleó,Market,Mercadal · Plaça Calvet i Rubalcaba,"Plaça Calvet i Rubalcaba 15, 17002 Girona",+34 972 201 163,41.979557,2.822663,plenty,Municipal market; Fish; Producers,"The working municipal market, in a purpose-built 1944 hall of ~1,712 m² and ~60 stalls","Day-boat Costa Brava fish off the Salvador counter — bright-eyed, stiff, smelling of the sea.",Market prices,—,07:00–10:00 for the best fish and produce,"Mon–Fri 07:00–14:00, Sat 07:00–14:30; closed Sun. A locals' market, not a tourist stop","The 1944 hall Girona still cooks from — a working larder, not a food-hall conversion.","Shut Sundays and wound down by two; after ten the fish is picked over — come to shop, not to graze.","Peix de costa — Peixateria Salvador (parades 74–75, 91–93) — Llançà, Roses and Blanes day-boats — bright-eyed, stiff, smelling of clean sea; Botifarra dolça — Empordà's sweet pork sausage — sugar and lemon peel; fry with Girona apple; Poma de Girona (IGP) — Sea-tempered plain-grown apples — Gala, Golden, Granny Smith; EU PGI since 2003; Bacallà — Món Salat (parades 78–80) — Top-grade salt cod plus brandada, piquillos, olives, bunyols de bacallà; Formatges de Mas Alba — El Petit Productor (parades 56–59) — The Vilademuls farm's own stall — seven goat cheeses; try Babaus, Petitot; Salsafins — October-to-April Girona root — sweet, delicate; classically stewed with duck"
Espelt Viticultors,Winery,Alt Empordà · Vilajuïga (≈50 min NE),"Mas Espelt, 17493 Vilajuïga, Girona",+34 972 531 727,42.33,3.05,plenty,DO Empordà; Organic; Cellar visit,"One of the largest DO Empordà producers, farming organically on the Alt Empordà","Airam: grandfather Lluís's solera Garnatxa — gold shading to red, every vintage since 1997.",EUR 10 (visit) + bottles,Required for the visit,Morning slot,"Province, not city — an hour out; the town coordinate is approximate",The big estate that farms like a small one — 200 organic hectares of DO Empordà with a solera in the cellar running back to 1997.,"Book and pay online first — the 11:00 vineyard tours run on set dates only (weekly in August, thin the rest of the year), €27–38 a head, and it's a good fifty minutes from Girona; make it a Cap de Creus morning, not a detour.","Airam — Grandfather Lluís's solera since 1997 — gold-to-red; rosemary honey, nuts, cinnamon.; Coma Bruna — Century-old Carinyena on Rabós slate — plum, truffle; Decanter 94 (Evans).; Sauló — The soulful young Garnatxa–Carinyena — violets, rosemary, garriga herbs; Vinari Gold 2021.; La Vella — Near-extinct Carinyena Blanca, century vines, cement-egg lees — hazelnut, orange peel.; Garnatxa de l'Empordà (50 cl) — Bright-amber natural sweet Garnatxa — cherry, honey, herbs; half-bottle for the galley.; Vinagre de Garnatxa — Garnatxa-only wine vinegar — blackberry-sharp; a teaspoon wakes stews and braises."
