Category,Name,Neighborhood,Recognition,What_to_order,Price_range,Reservation,Best_time,Notes
Cult,La Table du Grapiot,Pupillin (15 km north — Overnoy/Houillon village),Michelin one star — new in March 2026 (Gault & Millau Jeune Talent on reopening),the tasting menu — Vivien Sonzogni's cuisine of memory: pike & blette with miso; trout & Morteau sausage; artichoke & beef tongue,EUR 60-94 menu,Essential,Lunch / Dinner,"Chef Vivien Sonzogni (35), associates Noémie Paris / Violette / Hugo. Took over June 2024; first ★ March 2026. The village of Pierre Overnoy is across the road — a natural-wine pilgrimage with a star at the end of it. Bistrot side opens June–August (Thu–Mon)."
Contemporary,Le Bistronôme,Arbois — banks of the Cuisance,"Michelin Bib Gourmand (held); Gault & Millau selected; Pudlowski: ""une leçon de haute bistronomie""",ballottine of Planches trout stuffed with morels & oyster mushrooms in Vin Jaune sauce; veal picanha marinated in soy + Vin Jaune; roast veal sweetbreads with smoked-cheese sauce + salted churros,EUR 27 lunch / 37 dinner / 55 à la carte,Recommended,Lunch on the Cuisance terrace,"Chefs Jérôme Brousseau (kitchen) + Léa Vuillemin (pastry), both former apprentices of Jeunet and Naessens. Closed Sun-Mon; closed Thu eves Nov-Mar. Wine list exclusively Jura."
Traditional,Ô Tablier,Lons centre — rue Émile Monot,"Gault & Millau selected; #1-rated restaurant in Lons (TripAdvisor 4.9/5, 300+ reviews)",four starters / four mains / two desserts — rewritten regularly; the Comté and Morteau will be where they belong on the menu,EUR 36-42 menu,Recommended (small room),Weekday lunch,"Chefs Louise Crétin (kitchen) + Thomas Berthod (salle). Short-circuit, seasonal, local, organic where possible. The best expression of Jura terroir in central Lons. Unusual split hours — verify before going."
Contemporary,La Comédie,Place de la Comédie (Lons),"The Place de la Comédie's resident table — renovated historic monument, coloured arcades",the Plaisir 5-course or Découverte 6-course; menus du Marché change weekly,EUR 35-60,Recommended,Dinner,"Chefs Lucie & Guillaume Ferrier. Tue–Sat 11:30–14:00 and 19:00–22:00. Comté, Mont d'Or, Morteau and Jura wines throughout the menu."
Contemporary,La Petite Auberge,"Lons (route de Besançon, north approach)",Gault & Millau listed — chef's table on the northern approach,morel & Vin Jaune crust; Jura trout with roasted bacon; Dombes duck; soufflé glacé au Macvin (Véronique's dessert),EUR 29-42 menu,Recommended,Dinner,"Chefs Véronique & Nicolas Narbey (ex-Château d'As Baume-les-Dames, ex-Matignon). Mon lunch; Tue-Fri lunch + dinner; Sun lunch. Closed Sat and Mon eve."
Traditional,Le Bistrot des Marronniers,Lons centre — rue de Vallière,Lyonnais-Jura hybrid bouchon since 1987 — wood-fired grill in the room,"tablier de sapeur (Lyonnais tripe), pike-perch fillet with Poulsard wine, calf liver with Macvin",EUR 25-45,Walk-in / phone,Lunch,"Half Lyonnais bouchon, half Jura. David & Jean-Michel, co-proprietors. The grill is the centerpiece of the dining room."
Traditional,La Table de Perraud,Lons centre — Place Perraud,Gault & Millau listed — reliable traditional table,"pochouse jurassienne (the Jura's freshwater fish stew in white wine and cream), choucroute, andouillette with mustard cream, lamb shoulder",EUR 24-35 formula,Walk-in,Lunch,Chef Gabriel Janod. Named for the Jurassien sculptor Jean-Joseph Perraud. The pochouse is the Lyonnais-equivalent dish to test.
Traditional,La Finette — Taverne d'Arbois,Arbois — av. Louis Pasteur,"The canonical Jura tavern since 1961 — varnished log tables, vaulted cellar","fondue de Comté (€20.50/person), poulet au Vin Jaune et morilles, Jura trout, Morteau sausage, Franche-Comté ice cream with Fougerolles cherries",EUR 21-55 menu / 20.50 fondue per person,Recommended,Weekday lunch,"Daily 11:45-14:30 and 18:45-22:30, year-round. Maximum Jura folk décor. Wines exclusively Jura."
Drink,Le Bistrot des Claquets,Arbois — Place Faramand,Le Fooding selected — the cave à manger / natural-wine bistro of Arbois since 2010,the daily-changing single main course + cold buffet (formula €12–19.50); aperitif boards with regional charcuterie and cheese,EUR 12-22,Phone only,Lunch,Personal natural & organic Jura wine selection — the team tastes everything before listing. Where the Jura vignerons drink lunch. AMAP farmer deliveries Tue and Wed.
Cafe,Pâtisserie Chocolaterie Pelen,Lons centre,Maison since 1899 — Gault & Millau listed chocolatier,"Galet de Chalain (the praliné-and-nougatine signature, created 1984 by Dominique Pelen, named after Lac de Chalain), tarte au comté, éclair café, bean-to-bar chocolate",EUR 3-8,Walk-in,All day,"Arnaud Pelen, 4th generation. The Galet is the souvenir comestible to bring home. Note: address corrected — 175 rue Blaise Pascal, NOT rue du Commerce. Mon & Sat 08:00-12:00/14:30-19:00; Tue-Fri 08:30-12:00/13:45-17:30."
Drink,Caveau des Jacobins,Lons centre — rue Richebourg,Jura wine cave — sale and tasting of the seven varieties without driving,Vin Jaune Macle or Tissot; Crémant brut; Macvin for the apéritif; a vertical of Ploussard from Pupillin,EUR 6-15 glass / 18-150 bottle,Walk-in,All day,For understanding the seven Jura varieties before driving up to Château-Chalon. The caviste explains without bla-bla.
Market,Marché de Lons-le-Saunier,Place de la Comédie + Place du 11 Novembre + Place de Verdun,"The largest market in the Jura department — Thursday (main) + Saturday (food) + Wednesday (producers, 17h-19h30)","Comté from Marcel Petite (Fort Saint-Antoine), Saucisse de Morteau IGP from a tuyé producer, cancoillotte, Mont d'Or in season, miel de sapin, eight-month Bleu de Gex",EUR variable,Walk-in,Thursday morning,"Thursday is the big market — Place du 11 Novembre (manufactured goods, all day) + Place de Verdun (food, morning). Saturday: Cours Sully food morning. Wednesday: 17:00-19:30 producers, Place du 11 Novembre."
Produce,Maison du Comté — Poligny,Poligny (25 km north — capital of Comté),Official Comté AOP interpretation centre — visit + tasting,the three-space visit (farm + dairy + cellar) with comparative tasting of three ages of Comté and Marcel Petite's Fort Saint-Antoine cuvée,EUR 8.90 adult / 6.50 child,Walk-in (groups book),Mornings,"Note: the Maison du Comté MOVED — new building on the site of the former municipal stadium with traditional Haut-Doubs farm architecture references. The old Avenue de la Résistance address is no longer current. Three themed spaces, tasting at the end."
Cult,Domaine Macle,Château-Chalon (Vin Jaune),"The canonical Château-Chalon house — family settled in 1850, 8th generation in 2025",Château-Chalon (Vin Jaune); Côtes du Jura blanc tradition (Chardonnay ouillé); Crémant,EUR 25-95 bottle,Essential — visit by appointment only,Afternoon,"Laurent Macle since 1995 (7th gen); Carmen Macle joined January 2025 (8th gen). 12 ha total: 8 ha Chardonnay (Côtes du Jura) + 4 ha Savagnin (Château-Chalon). Tastings in the family cellar, no theatre. Château-Chalon declassified years: 1974, 1980, 1984, 2001."
Cult,Domaine Stéphane Tissot,Montigny-lès-Arsures (Arbois),The biodynamic reference of the Jura — Demeter certified since 2004,Arbois Trousseau Singulier; Vin Jaune; Vin de Paille; Crémant Indigène; the parcellaire Chardonnays,EUR 18-120 bottle,Recommended for cellar; shop walk-in,All day,"Bénédicte & Stéphane Tissot, 50 ha, organic 1999 + biodynamic Demeter 2004. Over 30 cuvées on blue and grey marls, limestone and clay — the broadest serious gamme in the Jura. Same village where Pasteur ran his vine experiments."
Cult,Maison de Louis Pasteur,Arbois — centre historique,"Maison des Illustres (2013) — Pasteur's home laboratory, preserved intact",the 1-hour guided visit; the experimental vineyard in Pupillin (Clos Pasteur) is still maintained,EUR 7-9,Walk-in or guided slot,Late morning,"Family moved here 1827, when Pasteur was four. His 1857 Mémoire on lactic fermentation (Académie des Sciences, 30 November) was the foundational fermentation paper — not a doctoral thesis (his doctorate, 1847, was on crystallography). The Arbois lab is among the best-preserved 19th-c. scientific workplaces in France. One hour."
Cult,Salines Royales d'Arc-et-Senans (UNESCO),Arc-et-Senans (25 km east),UNESCO 1982 (Arc-et-Senans) + 2009 extension (Salins-les-Bains) — Claude-Nicolas Ledoux 1775,the visit + the Festival des Jardins (June–October); the semicircular layout of Ledoux's industrial city,EUR 13-15,Walk-in,All day,"Construction 1775; operations 1779–1895; UNESCO 1982; Salins-les-Bains added 29 June 2009. Ledoux's semicircular ideal-city layout, the Director's house at the focal point. Brine arrived via the 21.25-km saumoduc from Salins (wooden pipeline, cast iron from 1782, ~30 % loss to leaks and smugglers)."
